title,price,location,year,mileage,list_date,URL,source
2013 Kymco Agility 125 Moped,"$1,000",kirkland,2013,"1,200mi",18 mins ago,https://seattle.craigslist.org/est/mcy/d/kirkland-2013-kymco-agility-125-moped/7640942159.html,craigslist
2023 Husqvarna Vitpilen 401 Vitpilen,"$5,149",bellingham,2023,-1,21 mins ago,https://seattle.craigslist.org/sno/mcd/d/bellingham-2023-husqvarna-vitpilen-401/7640941068.html,craigslist
2022 KTM 890 Adventure R,"$13,500",seattle,2022,300mi,24 mins ago,https://seattle.craigslist.org/see/mcy/d/seattle-2022-ktm-890-adventure/7640940053.html,craigslist
1984 R65LS Air head,"$1,200",vashon,1984,45k mi,27 mins ago,https://seattle.craigslist.org/see/mcy/d/vashon-1984-r65ls-air-head/7640938938.html,craigslist
2023 Powerful DUAL MOTOR 6000W E-Scooters,"$3,750",seattle,2023,1mi,34 mins ago,https://seattle.craigslist.org/est/mcd/d/seattle-2023-powerful-dual-motor-6000w/7640936384.html,craigslist
2005 Yamaha Royal Star tour deluxe,"$5,000",bonney,2005,17k mi,39 mins ago,https://seattle.craigslist.org/tac/mcy/d/bonney-lake-2005-yamaha-royal-star-tour/7640934998.html,craigslist
2016 KTM 350 SXF,"$9,000",ferndale,2016,9mi,50 mins ago,https://seattle.craigslist.org/see/mcy/d/ferndale-2016-ktm-350-sxf/7640931733.html,craigslist
2023 KTM 390 Duke Naked,"$5,399",bellingham,2023,-1,54 mins ago,https://seattle.craigslist.org/sno/mcd/d/bellingham-2023-ktm-390-duke-naked/7640930557.html,craigslist
2023 KTM 390 Duke Naked,"$5,399",bellingham,2023,-1,54 mins ago,https://seattle.craigslist.org/sno/mcd/d/bellingham-2023-ktm-390-duke-naked/7640930549.html,craigslist
2023 GASGAS EX 450F Cross Country,"$8,949",bellingham,2023,-1,54 mins ago,https://seattle.craigslist.org/sno/mcd/d/bellingham-2023-gasgas-ex-450f-cross/7640930550.html,craigslist
2019 HONDA AFRICA TWIN DCT,"$12,499",lacey,2019,"4,112mi",1h ago,https://seattle.craigslist.org/oly/mcd/d/lacey-2019-honda-africa-twin-dct/7640927974.html,craigslist
2023 GASGAS EX 250 Cross Country,"$8,099",bellingham,2023,-1,1h ago,https://seattle.craigslist.org/sno/mcd/d/bellingham-2023-gasgas-ex-250-cross/7640927648.html,craigslist
"2018 Ducati Panigale V4 S 25,000 OBO","$25,000",kent,2018,"2,900mi",1h ago,https://seattle.craigslist.org/see/mcy/d/kent-2018-ducati-panigale-v4-obo/7640919458.html,craigslist
2019 YAMAHA TT-R50E,"$1,399",lacey,2019,500mi,1h ago,https://seattle.craigslist.org/oly/mcd/d/lacey-2019-yamaha-tt-r50e/7640918943.html,craigslist
Victory Vegas,"$3,700",snohomish,-1,31k mi,2h ago,https://seattle.craigslist.org/sno/mcy/d/snohomish-victory-vegas/7640907064.html,craigslist
2023 GASGAS MC 85 17/14 Motocross,"$4,749",bellingham,2023,-1,2h ago,https://seattle.craigslist.org/sno/mcd/d/bellingham-2023-gasgas-mc-motocross/7640906582.html,craigslist
2023 GASGAS ES 700 Travel,"$12,699",bellingham,2023,-1,2h ago,https://seattle.craigslist.org/sno/mcd/d/bellingham-2023-gasgas-es-700-travel/7640906540.html,craigslist
2023 GASGAS MC 65 Motocross,"$4,299",bellingham,2023,-1,2h ago,https://seattle.craigslist.org/sno/mcd/d/bellingham-2023-gasgas-mc-65-motocross/7640906410.html,craigslist
2023 GASGAS MC 50 Motocross,"$3,999",bellingham,2023,-1,2h ago,https://seattle.craigslist.org/sno/mcd/d/bellingham-2023-gasgas-mc-50-motocross/7640906361.html,craigslist
2023 GASGAS MC-E 3 Motocross,"$4,199",bellingham,2023,-1,2h ago,https://seattle.craigslist.org/sno/mcd/d/bellingham-2023-gasgas-mc-3-motocross/7640906346.html,craigslist
2023 GASGAS MC-E 5 Motocross,"$4,699",bellingham,2023,-1,2h ago,https://seattle.craigslist.org/sno/mcd/d/bellingham-2023-gasgas-mc-5-motocross/7640906362.html,craigslist
03 Road King Classic 100 yr Anniversary edition,"$8,000",tacoma,-1,35k mi,2h ago,https://seattle.craigslist.org/tac/mcy/d/tacoma-03-road-king-classic-100-yr/7640905804.html,craigslist
2014 Harley Davidson Ultra Limited,"$18,000",auburn,2014,15k mi,2h ago,https://seattle.craigslist.org/skc/mcy/d/auburn-2014-harley-davidson-ultra/7640903201.html,craigslist
2015 Sherco 125 2T trials,"$3,200",vashon,2015,1010k mi,2h ago,https://seattle.craigslist.org/see/mcy/d/vashon-2015-sherco-125-2t-trials/7640903019.html,craigslist
49cc Scooter with LED lights,"$1,699",snohomish,-1,10mi,2h ago,https://seattle.craigslist.org/sno/mcd/d/snohomish-49cc-scooter-with-led-lights/7640899860.html,craigslist
2019 KAWASAKI KX450,"$6,499",lacey,2019,12mi,2h ago,https://seattle.craigslist.org/oly/mcd/d/lacey-2019-kawasaki-kx450/7640898509.html,craigslist
2014 KTM 350 XCF-W with Thumper Racing 400cc big bore kit,"$5,700",lake,2014,"1,400mi",2h ago,https://seattle.craigslist.org/sno/mcy/d/lake-stevens-2014-ktm-350-xcf-with/7640898064.html,craigslist
2023 Husqvarna TC 85 17 14,"$5,499",bremerton,2023,-1,3h ago,https://seattle.craigslist.org/tac/mcd/d/bremerton-2023-husqvarna-tc/7640895496.html,craigslist
2 Honda Ruckus,"$3,500",seattle,-1,"2,180mi",3h ago,https://seattle.craigslist.org/see/mcy/d/seattle-honda-ruckus/7640893372.html,craigslist
2019 kawisaki z400,"$4,500",tacoma,2019,"3,278mi",3h ago,https://seattle.craigslist.org/tac/mcy/d/tacoma-2019-kawisaki-z400/7640888486.html,craigslist
DRZ 400 s,"$5,000",mount,-1,479mi,3h ago,https://seattle.craigslist.org/see/mcy/d/mount-vernon-drz-400/7640887381.html,craigslist
